feature,domain,best_horizon_bars,best_ic,ic_trend,ic_1bar,ic_12bar
V_yangZhang_12_pct_N,Volatility,3,0.03897888562660842,increasing,0.012950388322738298,0.03838614942867046
B_consecutiveUp_bnd_N,Other,12,-0.03852394597615967,increasing,-0.012786031089451677,-0.03852394597615967
D_N_premiumRange_rat_N,Other,3,0.03847732407592564,increasing,-0.004330121332002398,0.03685637145140878
L_S_oiVolumeRatio_6_rat_N,OpenInterest,3,-0.03749604474594101,increasing,-0.01304546450881901,-0.02631229798842505
L_M_N_S_oiPctChange_pct_N,OpenInterest,3,0.03738601528946293,increasing,0.008766368952094403,-0.01615403877608648
V_atrPct_21_pct_N,Volatility,3,0.03737751164775665,increasing,0.012591941605195292,0.019746958350383533
L_N_S_oiRatio_21_rat_N,OpenInterest,12,-0.03727056884406332,increasing,-0.0010196471843423494,-0.03727056884406332
N_P_T_priceSmaDeviation_6_pct_N,Other,3,-0.037190302462527025,stable,-0.027100137777906725,0.021176901096796232
M_N_stochasticK_6_bnd_N,Oscillator,3,-0.03646434743110515,decreasing,-0.023765749773622606,-0.004580520889522109
N_P_T_priceEmaDeviation_3_pct_N,Other,3,-0.036411693651926924,decreasing,-0.02317682140025545,0.015080289396563811
V_volOfVol_6_pct_N,Volatility,6,0.036333865195839164,decreasing,0.013620378090434484,-0.0033192500519465297
N_P_V_pctB_3_bnd_N,Volatility,3,-0.03605723086231593,stable,-0.012577587945447156,-0.012110721023030213
L_M_N_volumeRoc_12_pct_N,Volume,3,0.036034582309463076,decreasing,0.008044980154297061,-0.002990872614634198
L_M_N_S_oiRoc_12_pct_N,OpenInterest,12,-0.03596649068737442,increasing,-0.005707579862356453,-0.03596649068737442
L_N_S_oiRatio_12_rat_N,OpenInterest,12,-0.03595453551355853,increasing,-0.00391046406764788,-0.03595453551355853
L_S_oiVolumeRatio_21_rat_N,OpenInterest,12,-0.03508427682828718,increasing,-0.00576474601120705,-0.03508427682828718
N_P_T_priceSmaDeviation_3_pct_N,Other,3,-0.03490657843459896,stable,-0.009595841113266316,0.014186373103042034
N_P_V_pctB_6_bnd_N,Volatility,3,-0.033879245538959366,stable,-0.015914608335270704,0.01422561726056808
B_C_candleDirection_bin,Candlestick,12,-0.03305285837998384,increasing,-0.01494359657476911,-0.03305285837998384
F_I_M_fundingMaDiff_3_21_pct_N,Funding,12,-0.033044775316281264,increasing,-0.005948223853702011,-0.033044775316281264
N_M_cci_12_zsc_N,Other,3,-0.032750071935794364,decreasing,-0.018730438455346644,0.010609527520277053
V_parkinson_21_pct_N,Volatility,3,0.03149817376857347,increasing,0.007745254996954453,0.020147296404581096
B_consecutiveDown_bnd_N,Other,3,0.031159191245464332,decreasing,0.01905704593510123,0.008980344763423898
M_V_calmar_21_rat_N,Volatility,12,-0.03115429227865046,increasing,-0.01353874857502051,-0.03115429227865046
V_rogersSatchell_21_pct_N,Volatility,3,0.031032299216724214,increasing,0.00649579266580833,0.02001975289262144
V_garmanKlass_21_pct_N,Volatility,3,0.030475225834590298,increasing,0.00682506162237651,0.02162824009575574
M_P_L_vwapReturn_pct_N,Momentum,3,-0.030325408649078428,decreasing,0.011524725783361953,0.001841876452894731
V_maxDrawdown_21_pct_N,Volatility,3,-0.030037478671833227,decreasing,-0.010926003592531595,-0.004719177664438983
M_P_S_W_oiWeightedReturn_pct_N,Momentum,1,0.029926588464130363,decreasing,0.029926588464130363,0.01876988278601811
N_P_T_priceEmaDeviation_6_pct_N,Other,3,-0.02986985927985089,stable,-0.02163349519162089,0.021380341987364267
