feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic
M_V_sortino_21_rat_N,-0.010716677502056338,0.4303936768251777,0.49169128508124077,5417,Volatility,0.9265976753160645,False,0.010716677502056338
M_P_roc_21_pct_N,-0.01066484543829384,0.43262700915248564,0.49169128508124077,5417,Momentum,0.9265976753160645,False,0.01066484543829384
D_N_V_markCloseRange_rat_N,0.01059246323891365,0.43486816250519533,0.3956225859849182,5438,Volatility,0.9265976753160645,False,0.01059246323891365
L_S_oiVolumeRatio_12_rat_N,-0.010344713192542942,0.4461490894893586,0.5071876151861408,5427,OpenInterest,0.9265976753160645,False,0.010344713192542942
M_N_rocAccel_6_dif_N,-0.010270465796633304,0.4494617542260183,0.49548387096774194,5426,Momentum,0.9265976753160645,False,0.010270465796633304
M_V_sharpe_21_rat_N,-0.010206256144949235,0.45267668670225036,0.49169128508124077,5417,Volatility,0.9265976753160645,False,0.010206256144949235
N_V_bollingerBandwidth_21_pct_N,0.010188586181658098,0.45341787051098437,0.5067380468894221,5418,Volatility,0.9265976753160645,False,0.010188586181658098
L_N_volumeRatio_21_rat_N,0.009881001738047459,0.46716817316685333,0.5067380468894221,5418,Volume,0.9265976753160645,False,0.009881001738047459
M_N_rsi_21_bnd_N,-0.00977986893386231,0.47173922255742884,0.5067380468894221,5418,Oscillator,0.9265976753160645,False,0.00977986893386231
N_P_T_priceSmaDeviation_3_pct_N,-0.009595841113266316,0.47939093633730245,0.47690892364305426,5436,Other,0.9265976753160645,False,0.009595841113266316
D_N_closeVsMarkVol_12_pct_N,-0.0095361874831499,0.4824902686814121,0.5071876151861408,5427,Other,0.9265976753160645,False,0.0095361874831499
V_skew_21_rat_N,0.009287121288526356,0.49439926979500115,0.4985228951255539,5417,Volatility,0.9265976753160645,False,0.009287121288526356
C_N_upperShadow_bnd_N,0.008869553102706824,0.5131968579628527,0.5041383115688799,5438,Candlestick,0.9265976753160645,False,0.008869553102706824
L_M_N_S_oiPctChange_pct_N,0.008766368952094403,0.5181489029525481,0.5132450331125827,5437,OpenInterest,0.9265976753160645,False,0.008766368952094403
M_N_rsi_12_bnd_N,-0.008713053836021232,0.5210810157536754,0.5071876151861408,5427,Oscillator,0.9265976753160645,False,0.008713053836021232
V_returnStd_3_pct_N,0.00867967551707225,0.5223722415349594,0.507177033492823,5435,Volatility,0.9265976753160645,False,0.00867967551707225
M_P_V_momAtr_21_rat_N,-0.008531519963810423,0.5301803543940129,0.49169128508124077,5417,Momentum,0.9265976753160645,False,0.008531519963810423
N_V_bollingerBandwidth_42_pct_N,0.008507645179682203,0.5320914240354545,0.5068569310600445,5397,Volatility,0.9265976753160645,False,0.008507645179682203
F_TM_fundingCyclePosition_bin,0.00849319826174791,0.5312349911747916,0.34265219790325546,5438,Other,0.9265976753160645,False,0.00849319826174791
F_I_T_fundingMa_21_pct_N,0.008461017568496395,0.5327921500333236,0.510391760161854,5438,Funding,0.9265976753160645,False,0.008461017568496395
L_N_volumeRatio_12_rat_N,0.008178035896099018,0.5469899352266487,0.5071876151861408,5427,Volume,0.9265976753160645,False,0.008178035896099018
V_kurtosis_21_rat_N,-0.00811356946663908,0.55052220535106,0.5059084194977843,5417,Volatility,0.9265976753160645,False,0.00811356946663908
L_M_N_volumeRoc_12_pct_N,0.008044980154297061,0.553567482951999,0.4967741935483871,5426,Volume,0.9265976753160645,False,0.008044980154297061
M_T_V_diDiff_12_bnd_N,-0.007962971528145377,0.5572184276194339,0.48381162619573215,5437,Volatility,0.9265976753160645,False,0.007962971528145377
V_parkinson_21_pct_N,0.007745254996954453,0.5687252689702815,0.5067380468894221,5418,Volatility,0.9265976753160645,False,0.007745254996954453
V_returnStd_6_pct_N,0.007720454330859704,0.5694655048570183,0.5069048057447983,5432,Volatility,0.9265976753160645,False,0.007720454330859704
