feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic,horizon_bars,horizon_label
M_V_sortino_21_rat_N,-0.024033344537228562,0.07727063082296536,0.4827012025901943,5417,Volatility,0.25198706078214245,False,0.024033344537228562,12,96h
M_N_T_stochasticD_6_bnd_N,-0.023860021142135097,0.07904180471224544,0.5189149289536815,5431,Oscillator,0.25198706078214245,False,0.023860021142135097,12,96h
L_N_volOiRatio_rat_N,0.02384908152482773,0.07898575574626214,0.5195355694802801,5438,OpenInterest,0.25198706078214245,False,0.02384908152482773,12,96h
L_S_oiVolumeRatio_12_rat_N,-0.023537470590278255,0.08329413856202977,0.5185595567867036,5427,OpenInterest,0.25198706078214245,False,0.023537470590278255,12,96h
N_P_L_vwapDeviation_pct_N,-0.023511635316130194,0.08331986138330513,0.48931072613343163,5438,Other,0.25198706078214245,False,0.023511635316130194,12,96h
D_F_T_premiumMa_3_pct_N,-0.02342717696798536,0.08443424102429647,0.4985256173977147,5438,Premium,0.25198706078214245,False,0.02342717696798536,12,96h
L_S_oiVolumeRatio_6_rat_N,-0.023394850535053382,0.08500768315542155,0.5190924183729939,5433,OpenInterest,0.25198706078214245,False,0.023394850535053382,12,96h
F_I_fundingCumulative_3_pct_N,-0.02308759094345825,0.08903714191137882,0.5086619977884261,5438,Funding,0.2586204706644288,False,0.02308759094345825,12,96h
F_I_T_fundingMa_3_pct_N,-0.022992519918464065,0.0903613692682944,0.5086619977884261,5438,Funding,0.2586204706644288,False,0.022992519918464065,12,96h
D_N_V_markAtrRatio_6_rat_N,-0.02273740052926794,0.09402360257727428,0.519447004608295,5437,Volatility,0.2601367789337623,False,0.02273740052926794,12,96h
D_F_N_S_premiumZscore_42_zsc_N,-0.02267335889825224,0.09492313488676102,0.48931072613343163,5438,Premium,0.2601367789337623,False,0.02267335889825224,12,96h
L_M_S_obv_42_zsc_N,0.02260905445819716,0.0971595198427305,0.49981426448737,5396,Volatility,0.2601367789337623,False,0.02260905445819716,12,96h
V_parkinson_12_pct_N,0.022577792276209215,0.09666263808058544,0.5185595567867036,5427,Volatility,0.2601367789337623,False,0.022577792276209215,12,96h
V_yangZhang_21_pct_N,0.02226949149382649,0.10222372589534072,0.5185666542888971,5398,Volatility,0.2659092945695878,False,0.02226949149382649,12,96h
V_atrPct_21_pct_N,0.022170193964648702,0.10251924609911818,0.519447004608295,5437,Volatility,0.2659092945695878,False,0.022170193964648702,12,96h
M_winRate_12_bnd_N,0.021314764922281345,0.11681139070089505,0.5185595567867036,5427,Other,0.2983183208669012,False,0.021314764922281345,12,96h
S_N_longShortZscore_63_zsc_N,-0.02118347492380381,0.1398740511625578,0.4946480032935364,4870,Sentiment,0.32474405776597975,False,0.02118347492380381,12,96h
N_P_T_priceSmaDeviation_21_pct_N,-0.021069006577573744,0.12140021861526204,0.4811320754716981,5418,Other,0.3037593146406586,False,0.021069006577573744,12,96h
