target,horizon,helper,baseline_ic,best_ic,improvement_pct,best_config
vol_regime,1,kalman,0.037318793628575674,0.06430802406169546,72.32074729353964,"{'process_noise': 0.001, 'measurement_noise': 0.001}"
vol_regime,1,cusum,0.09817853461379882,0.10333689561855691,5.254061924074693,"{'threshold': 5.0, 'drift': 0.0}"
vol_regime,3,hmm4,0.2915229664698224,0.31516657174208706,8.110374821776583,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,3,hmm5,0.332658264584925,0.4242313346544884,27.527670230536412,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,3,garch,0.45359904441840265,0.45359904441840265,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
vol_regime,3,if,0.23835906702805734,0.2907547307930731,21.981821131582237,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
vol_regime,3,kalman,0.037318793628575674,0.06430802406169546,72.32074729353964,"{'process_noise': 0.001, 'measurement_noise': 0.001}"
vol_regime,3,cusum,0.09817853461379882,0.10333689561855691,5.254061924074693,"{'threshold': 5.0, 'drift': 0.0}"
vol_regime,6,hmm4,0.2915229664698224,0.31516657174208706,8.110374821776583,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,6,hmm5,0.332658264584925,0.4242313346544884,27.527670230536412,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,6,garch,0.45359904441840265,0.45359904441840265,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
vol_regime,6,if,0.23835906702805734,0.2907547307930731,21.981821131582237,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
vol_regime,6,kalman,0.037318793628575674,0.06430802406169546,72.32074729353964,"{'process_noise': 0.001, 'measurement_noise': 0.001}"
vol_regime,6,cusum,0.09817853461379882,0.10333689561855691,5.254061924074693,"{'threshold': 5.0, 'drift': 0.0}"
vol_regime,12,hmm4,0.33670769476511064,0.3605162404698587,7.070983548907915,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,12,hmm5,0.3718408340313471,0.4467933892400797,20.15716090030444,"{'n_states': 5, 'n_iter': 100, 'covariance_type': 'diag'}"
vol_regime,12,garch,0.5802352912580072,0.5802352912580072,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
vol_regime,12,if,0.2663860572084115,0.31392319459895757,17.84520477111705,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
vol_regime,12,kalman,0.07326533395923517,0.07326533395923517,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
vol_regime,12,cusum,0.15141934029111356,0.1698234773550432,12.154416356950486,"{'threshold': 4.0, 'drift': 0.1}"
trend_regime,1,hmm4,0.2597163570895572,0.2836133993902935,9.201208028840464,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,1,hmm5,0.30660813446650176,0.30660813446650176,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,1,garch,0.47329107696192213,0.47329107696192213,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
trend_regime,1,if,0.12246301649826156,0.1435819501835943,17.245152282879232,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
trend_regime,1,kalman,0.05854348165563138,0.05854348165563138,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
trend_regime,1,cusum,0.09583553617339204,0.12493292848939579,30.36179842867348,"{'threshold': 3.0, 'drift': 0.2}"
trend_regime,3,hmm4,0.2597163570895572,0.2836133993902935,9.201208028840464,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,3,hmm5,0.30660813446650176,0.30660813446650176,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,3,garch,0.47329107696192213,0.47329107696192213,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
trend_regime,3,if,0.12246301649826156,0.1435819501835943,17.245152282879232,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
trend_regime,3,kalman,0.05854348165563138,0.05854348165563138,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
trend_regime,3,cusum,0.09583553617339204,0.12493292848939579,30.36179842867348,"{'threshold': 3.0, 'drift': 0.2}"
trend_regime,6,hmm4,0.04850301015584989,0.21849806446979742,350.48351384320137,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,6,hmm5,0.24141072653722487,0.24141072653722487,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,6,garch,0.08274058683867039,0.08274058683867039,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
trend_regime,6,if,0.3234764806815897,0.3234764806815897,0.0,"{'contamination_extreme': 0.005, 'contamination_moderate': 0.02, 'contamination_mild': 0.05, 'n_estimators': 100}"
trend_regime,6,kalman,0.0513883227536401,0.05591890768725597,8.816370511518484,"{'process_noise': 1e-05, 'measurement_noise': 0.001}"
trend_regime,6,cusum,0.09394799997908265,0.10691349345921719,13.800712610189978,"{'threshold': 5.0, 'drift': 0.0}"
trend_regime,12,hmm4,0.30024970387123434,0.45092016637758775,50.18171893717178,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,12,hmm5,0.4697707294300589,0.4697707294300589,0.0,"{'n_states': 4, 'n_iter': 100, 'covariance_type': 'diag'}"
trend_regime,12,garch,0.5370009745806167,0.5370009745806167,0.0,"{'p': 1, 'q': 1, 'mean': 'Zero'}"
trend_regime,12,if,0.2183831302653512,0.23561562045090656,7.8909438492875585,"{'contamination_extreme': 0.03, 'contamination_moderate': 0.1, 'contamination_mild': 0.2, 'n_estimators': 100}"
trend_regime,12,kalman,0.04646997704098476,0.04646997704098476,0.0,"{'process_noise': 1e-06, 'measurement_noise': 0.001}"
trend_regime,12,cusum,0.22928997999881584,0.310833991736246,35.56370485001189,"{'threshold': 5.0, 'drift': 0.0}"
