feature,category,fwd_ret_1_ic,fwd_ret_1_pval,fwd_ret_1_n,fwd_ret_1_icir,fwd_ret_1_hit_rate,fwd_ret_3_ic,fwd_ret_3_pval,fwd_ret_3_n,fwd_ret_3_icir,fwd_ret_3_hit_rate,fwd_ret_6_ic,fwd_ret_6_pval,fwd_ret_6_n,fwd_ret_6_icir,fwd_ret_6_hit_rate,fwd_ret_12_ic,fwd_ret_12_pval,fwd_ret_12_n,fwd_ret_12_icir,fwd_ret_12_hit_rate,fwd_ret_1_qval,fwd_ret_3_qval,fwd_ret_6_qval,fwd_ret_12_qval,max_abs_ic,fwd_ret_1_abs_ic,fwd_ret_3_abs_ic,fwd_ret_6_abs_ic,fwd_ret_12_abs_ic
N_P_T_priceSmaDeviation_12_pct_N,Normalized,-0.012639408219198513,0.35241532915615326,5415,-0.3228813263945174,0.48078344419807834,-0.018431967367150495,0.17505163320584258,5415,-0.4807813606460727,0.4729455216989843,0.004705537491860484,0.729202278234083,5415,-0.39878654587350093,0.489196675900277,-0.009758453107869228,0.47279211763642903,5415,-0.5178672631465203,0.4806058367196158,0.920730035241421,0.3980626179749297,0.9124576869718412,0.7553798800826246,0.018431967367150495,0.012639408219198513,0.018431967367150495,0.004705537491860484,0.009758453107869228
N_P_T_priceEmaDeviation_12_pct_N,Normalized,-0.014263357382591848,0.2935020502600486,5426,-0.36890581126633337,0.4817410549612689,-0.02036326227987448,0.13366723851086915,5426,-0.5627862960150899,0.4857142857142857,0.004453169958416634,0.7429474057192602,5426,-0.5078779018604012,0.4952995391705069,-0.006933181304258986,0.6096338197508939,5426,-0.6478103904255905,0.4856194690265487,0.920730035241421,0.37363013967857267,0.9135501433288681,0.8683459186031687,0.02036326227987448,0.014263357382591848,0.02036326227987448,0.004453169958416634,0.006933181304258986
N_P_T_priceSmaDeviation_21_pct_N,Normalized,-0.01277808501644177,0.34755813375404965,5406,-0.44485119108357263,0.48861743475846753,-0.023443917718646522,0.08478655248845834,5406,-0.5793613084677407,0.47909729929707734,-0.0028980095999254574,0.8313045030935875,5406,-0.5474394817024558,0.49019607843137253,-0.021069006577573744,0.12140021861526204,5406,-0.6780810903922815,0.48122109158186865,0.920730035241421,0.2989914134686916,0.9387520239016022,0.3037593146406586,0.023443917718646522,0.01277808501644177,0.023443917718646522,0.0028980095999254574,0.021069006577573744
N_P_T_priceEmaDeviation_21_pct_N,Normalized,-0.012495269794315332,0.3574459084388284,5426,-0.5319468844228351,0.49096274437476944,-0.0219490873737683,0.10595980049709854,5426,-0.7055085192207301,0.4860829493087558,0.002957966926774897,0.8275551614601936,5426,-0.6838121774706922,0.4927188940092166,-0.00933666002661536,0.49169975601403726,5426,-0.8261417766404824,0.49262536873156343,0.920730035241421,0.3373262301868354,0.9387520239016022,0.7576869952594294,0.0219490873737683,0.012495269794315332,0.0219490873737683,0.002957966926774897,0.00933666002661536
F_I_fundingCumulative_3_pct_N,Funding,0.00020308806412874263,0.9880670423882869,5426,-0.3899554827202727,0.504886594136087,-0.0007117329437820764,0.9581978918374489,5426,-0.3198302256279932,0.5079248064872834,-0.009208592342436208,0.4976602448112357,5426,-0.5151749434198536,0.5082934021378548,-0.02308759094345825,0.08903714191137882,5426,-0.5670418508944632,0.5087557603686635,0.988067042388287,0.9843974681525242,0.869595796196475,0.2586204706644288,0.02308759094345825,0.00020308806412874263,0.0007117329437820764,0.009208592342436208,0.02308759094345825
F_I_T_fundingMa_3_pct_N,Funding,0.00024310228947215263,0.9857161348874914,5426,-0.38997440498015784,0.504886594136087,-0.0006177011244122574,0.9637165518292438,5426,-0.319778856860126,0.5079248064872834,-0.00908684243789209,0.5033621529439718,5426,-0.5148454112430612,0.5082934021378548,-0.022992519918464065,0.0903613692682944,5426,-0.5669638782498108,0.5087557603686635,0.988067042388287,0.9843974681525242,0.8703970561322846,0.2586204706644288,0.022992519918464065,0.00024310228947215263,0.0006177011244122574,0.00908684243789209,0.022992519918464065
F_I_fundingCumulative_7_pct_N,Funding,-0.00023072325356161138,0.9864434131534203,5426,-0.5238481646973664,0.5087589894892126,-0.006999594474666663,0.6062124985164845,5426,-0.5536775316347541,0.5062661260597124,-0.011357633649088561,0.4028999526081882,5426,-0.5895856669592551,0.5121636564688536,-0.026647655010547503,0.049669474074205154,5426,-0.6553217369621436,0.5141013824884793,0.988067042388287,0.807413039459083,0.8608786709485695,0.2283043423796628,0.026647655010547503,0.00023072325356161138,0.006999594474666663,0.011357633649088561,0.026647655010547503
F_I_T_fundingMa_7_pct_N,Funding,0.0004902665503425334,0.9711983197458243,5426,-0.5234215349755292,0.5087589894892126,-0.005624350118396601,0.6787237927502545,5426,-0.5530150954628962,0.5062661260597124,-0.0098035095142643,0.47029996039710786,5426,-0.5886329553579653,0.5121636564688536,-0.025291643769850252,0.0624782640420937,5426,-0.6547339937856356,0.5141013824884793,0.988067042388287,0.862051119745124,0.8608786709485695,0.23503617429828189,0.025291643769850252,0.0004902665503425334,0.005624350118396601,0.0098035095142643,0.025291643769850252
F_I_fundingCumulative_21_pct_N,Funding,0.006311321059438656,0.6420759891452616,5426,-0.7092344170588962,0.5107873870551355,-0.0016936184290437318,0.9007407662341534,5426,-0.7048528421791178,0.5127165499447106,0.0050663967966899474,0.7090634295278814,5426,-0.6811829855772676,0.5230372281607077,0.0026961490502047567,0.8426095405119904,5426,-0.57317128388667,0.5227649769585253,0.920730035241421,0.9584805589414709,0.9054194561663717,0.9804422209982994,0.006311321059438656,0.006311321059438656,0.0016936184290437318,0.0050663967966899474,0.0026961490502047567
F_I_T_fundingMa_21_pct_N,Funding,0.00831443609530574,0.5403244892211758,5426,-0.7073077805044267,0.5107873870551355,0.0013129925076409586,0.9229689217629194,5426,-0.7018604083860938,0.5127165499447106,0.007768770940058913,0.5672303615358885,5426,-0.6757270538778497,0.5230372281607077,0.0063719683317865344,0.6388804791625443,5426,-0.5671174307693275,0.5227649769585253,0.920730035241421,0.9636027736644316,0.8868521633484934,0.8686643453157014,0.00831443609530574,0.00831443609530574,0.0013129925076409586,0.007768770940058913,0.0063719683317865344
F_I_M_fundingMaDiff_3_7_pct_N,Funding,-0.004785056223391861,0.7245422845774465,5426,0.03283218620421806,0.5019222554463905,0.0028619638987658924,0.8330682382438573,5426,0.24765924134251205,0.5127001067235859,-0.003178915778230293,0.814899592240035,5426,0.07440431665278549,0.5026680896478122,0.008618301032432631,0.5256230933941166,5426,0.09201400145302627,0.4976515798462852,0.9696049148736804,0.9460401957262092,0.9387520239016022,0.7932130318493033,0.008618301032432631,0.004785056223391861,0.0028619638987658924,0.003178915778230293,0.008618301032432631
F_I_M_fundingMaDiff_3_21_pct_N,Funding,-0.006286197270801975,0.6434017113735232,5426,-0.004238813988161584,0.4984538074990336,-0.006606896753418119,0.626565665261369,5426,0.11016465625928555,0.49739231214989377,-0.019273958850584076,0.15573835264540614,5426,-0.0779691220270419,0.48271199536411047,-0.027997234899330203,0.03918448918498105,5426,-0.2153689558484744,0.47469088098918083,0.920730035241421,0.8189755939636792,0.6305504033935956,0.2273513638206263,0.027997234899330203,0.006286197270801975,0.006606896753418119,0.019273958850584076,0.027997234899330203
F_I_M_fundingMaDiff_7_21_pct_N,Funding,-0.013020574015259145,0.3375923898732226,5426,-0.035293992118433315,0.4941972920696325,-0.008756328576594693,0.5190133354063377,5426,-0.08023707449943288,0.4944906243959018,-0.022576445232324587,0.09634425764211438,5426,-0.15476303816188078,0.4813454475159482,-0.04974479155842559,0.00024666725587978655,5426,-0.32847271882396695,0.46867749419953597,0.920730035241421,0.734314247599161,0.5159079602771286,0.004549640497338286,0.04974479155842559,0.013020574015259145,0.008756328576594693,0.022576445232324587,0.04974479155842559
F_I_N_S_fundingZscore_21_zsc_N,Funding,0.002031269142075255,0.881086690484137,5426,-0.04995626087862732,0.5057203800659298,-0.00017341507534266159,0.9898104517200037,5426,0.012371618409248369,0.5054263565891473,-0.011372161966681556,0.40229848130962276,5426,-0.06917132217951308,0.4906976744186046,-0.02650693148404404,0.050887112458117605,5426,-0.21851010209086824,0.4842023647993797,0.9831099976087642,0.9898104517200037,0.8608786709485695,0.2283043423796628,0.02650693148404404,0.002031269142075255,0.00017341507534266159,0.011372161966681556,0.02650693148404404
F_I_N_S_fundingZscore_42_zsc_N,Funding,-0.0015930830666191784,0.906605092672419,5426,-0.16435696112838152,0.5040665783998487,-0.001466518725366111,0.9139949201434973,5426,-0.06773898096543009,0.4984877126654064,-0.0087462700570312,0.5194935564064167,5426,-0.11475593959981356,0.4899810964083176,-0.017428879291272948,0.199268951709854,5426,-0.2162434735095153,0.48799394970693893,0.9831099976087642,0.9630719852535066,0.8799584730965834,0.41871703777007296,0.017428879291272948,0.0015930830666191784,0.001466518725366111,0.0087462700570312,0.017428879291272948
D_F_T_premiumMa_3_pct_N,Derivative,-0.01399465703553892,0.3026914628481901,5426,-0.8991308359006205,0.5053485798598303,-0.011716686804649525,0.3881934542668417,5426,-0.6881077386399421,0.49658986175115205,-0.006221177774788881,0.6468378989498633,5426,-0.6059602646321083,0.5054377880184332,-0.02342717696798536,0.08443424102429647,5426,-0.697160953855672,0.4987094395280236,0.920730035241421,0.6444011340829573,0.8868521633484934,0.25198706078214245,0.02342717696798536,0.01399465703553892,0.011716686804649525,0.006221177774788881,0.02342717696798536
D_F_T_premiumMa_7_pct_N,Derivative,-0.006978311644113268,0.6073079635896313,5426,-0.6618078677939574,0.504148995021206,-0.013684166825921336,0.31354584812144454,5426,-0.6219999456504902,0.49944710652414304,-0.01712794220787341,0.20713962304964195,5426,-0.6559540720109237,0.5079248064872834,-0.03319464713983525,0.014474203696233602,5426,-0.7437363973330974,0.503410138248848,0.920730035241421,0.5657457694365194,0.6487769325705768,0.12394367429059523,0.03319464713983525,0.006978311644113268,0.013684166825921336,0.01712794220787341,0.03319464713983525
D_F_T_premiumMa_21_pct_N,Derivative,-0.0030391941031430478,0.8228972175787723,5426,-0.8893996309368621,0.5082057901530518,-0.012435039315639638,0.35976833357282845,5426,-0.8398707816664609,0.5044231478068559,-0.01563967384485701,0.24938473564323727,5426,-0.7948187016554998,0.5165868042757096,-0.014346432117428386,0.29069920868734134,5426,-0.7317939579886746,0.5069124423963134,0.9827405620005483,0.609403503807036,0.7137563123582308,0.5422030184505467,0.01563967384485701,0.0030391941031430478,0.012435039315639638,0.01563967384485701,0.014346432117428386
D_F_N_S_premiumZscore_21_zsc_N,Derivative,-0.04441325483972855,0.0010663749153138743,5426,-0.6827085741036113,0.49250416435313715,-0.03766661350632988,0.005521521560859819,5426,-0.5809112191109451,0.4903810580836108,-0.027231280019456773,0.04487720107736746,5426,-0.34899218554626416,0.4900110987791343,-0.03637673938324527,0.007365942173426941,5426,-0.3835489078548905,0.484736355226642,0.15528090001665218,0.09213370619350236,0.3547435894687142,0.08733902862777658,0.04441325483972855,0.04441325483972855,0.03766661350632988,0.027231280019456773,0.03637673938324527
